id_producto_origen,id_producto_recomendado,posicion,similitud
1,5,1,0.576824
1,26,2,0.536599
1,23,3,0.48407
1,24,4,0.453805
1,17,5,0.445955
1,30,6,0.423633
1,21,7,0.419363
1,41,8,0.3512
2,20,1,0.516515
2,39,2,0.509141
2,40,3,0.470653
2,33,4,0.285836
2,37,5,0.284768
2,38,6,0.28124
2,59,7,0.261162
2,43,8,0.256829
5,1,1,0.576824
5,17,2,0.470387
5,26,3,0.4321
5,23,4,0.423658
5,21,5,0.403126
5,30,6,0.381449
5,24,7,0.348001
5,41,8,0.335623
12,16,1,0.326014
12,23,2,0.273159
12,13,3,0.269943
12,26,4,0.265063
12,66,5,0.261638
12,34,6,0.258117
12,42,7,0.25044
12,30,8,0.241915
13,34,1,0.472098
13,33,2,0.346466
13,21,3,0.291786
13,59,4,0.287306
13,5,5,0.27364
13,1,6,0.272828
13,12,7,0.269943
13,39,8,0.269023
16,53,1,0.394095
16,12,2,0.326014
16,1,3,0.305834
16,21,4,0.285161
16,66,5,0.284371
16,42,6,0.254989
16,5,7,0.247802
16,41,8,0.247778
17,24,1,0.69075
17,26,2,0.536431
17,5,3,0.470387
17,23,4,0.468803
17,30,5,0.462906
17,1,6,0.445955
17,54,7,0.423543
17,19,8,0.295485
19,34,1,0.356726
19,24,2,0.322123
19,17,3,0.295485
19,54,4,0.244637
19,46,5,0.238641
19,1,6,0.221648
19,13,7,0.218468
19,5,8,0.21738
20,39,1,0.5564
20,2,2,0.516515
20,40,3,0.471625
20,37,4,0.343182
20,33,5,0.31116
20,38,6,0.281385
20,43,7,0.26544
20,59,8,0.251966
21,66,1,0.427863
21,1,2,0.419363
21,5,3,0.403126
21,46,4,0.331788
21,41,5,0.32681
21,13,6,0.291786
21,16,7,0.285161
21,34,8,0.28085
23,26,1,0.693795
23,30,2,0.599364
23,1,3,0.48407
23,24,4,0.483918
23,17,5,0.468803
23,5,6,0.423658
23,54,7,0.35296
23,12,8,0.273159
24,17,1,0.69075
24,26,2,0.561904
24,23,3,0.483918
24,30,4,0.480035
24,1,5,0.453805
24,54,6,0.432877
24,5,7,0.348001
24,19,8,0.322123
26,30,1,0.775018
26,23,2,0.693795
26,24,3,0.561904
26,1,4,0.536599
26,17,5,0.536431
26,5,6,0.4321
26,54,7,0.365263
26,21,8,0.280374
30,26,1,0.775018
30,23,2,0.599364
30,24,3,0.480035
30,17,4,0.462906
30,1,5,0.423633
30,5,6,0.381449
30,54,7,0.347524
30,41,8,0.300249
33,37,1,0.761611
33,38,2,0.448346
33,35,3,0.429888
33,13,4,0.346466
33,20,5,0.31116
33,39,6,0.296856
33,2,7,0.285836
33,40,8,0.274721
34,13,1,0.472098
34,19,2,0.356726
34,5,3,0.304525
34,1,4,0.297107
34,21,5,0.28085
34,24,6,0.272075
34,17,7,0.263877
34,12,8,0.258117
35,38,1,0.524174
35,33,2,0.429888
35,37,3,0.40547
35,40,4,0.331124
35,43,5,0.317255
35,20,6,0.244055
35,59,7,0.241469
35,2,8,0.227939
37,33,1,0.761611
37,38,2,0.444059
37,35,3,0.40547
37,20,4,0.343182
37,39,5,0.295914
37,2,6,0.284768
37,40,7,0.273501
37,43,8,0.247659
38,35,1,0.524174
38,33,2,0.448346
38,37,3,0.444059
38,40,4,0.379319
38,20,5,0.281385
38,2,6,0.28124
38,59,7,0.270924
38,39,8,0.269915
39,20,1,0.5564
39,2,2,0.509141
39,40,3,0.469442
39,43,4,0.380026
39,59,5,0.365438
39,33,6,0.296856
39,37,7,0.295914
39,38,8,0.269915
40,20,1,0.471625
40,2,2,0.470653
40,39,3,0.469442
40,38,4,0.379319
40,35,5,0.331124
40,33,6,0.274721
40,37,7,0.273501
40,59,8,0.225309
41,1,1,0.3512
41,5,2,0.335623
41,21,3,0.32681
41,30,4,0.300249
41,23,5,0.254392
41,26,6,0.2531
41,16,7,0.247778
41,34,8,0.245818
42,16,1,0.254989
42,43,2,0.254576
42,12,3,0.25044
42,1,4,0.233962
42,66,5,0.230644
42,26,6,0.211744
42,21,7,0.205773
42,41,8,0.194803
43,39,1,0.380026
43,59,2,0.355174
43,35,3,0.317255
43,20,4,0.26544
43,13,5,0.257328
43,2,6,0.256829
43,42,7,0.254576
43,33,8,0.252608
46,21,1,0.331788
46,66,2,0.285357
46,24,3,0.245538
46,54,4,0.245195
46,19,5,0.238641
46,17,6,0.22362
46,34,7,0.21752
46,30,8,0.19231
53,16,1,0.394095
53,54,2,0.339222
53,26,3,0.233838
53,30,4,0.216639
53,23,5,0.215879
53,1,6,0.199578
53,21,7,0.191709
53,41,8,0.186341
54,24,1,0.432877
54,17,2,0.423543
54,26,3,0.365263
54,23,4,0.35296
54,30,5,0.347524
54,53,6,0.339222
54,1,7,0.319255
54,5,8,0.300494
59,39,1,0.365438
59,43,2,0.355174
59,13,3,0.287306
59,38,4,0.270924
59,2,5,0.261162
59,20,6,0.251966
59,35,7,0.241469
59,33,8,0.23688
66,21,1,0.427863
66,46,2,0.285357
66,16,3,0.284371
66,12,4,0.261638
66,42,5,0.230644
66,41,6,0.191695
66,30,7,0.189491
66,23,8,0.143371
